date,content
218,아고다 어플 사용하기 불편함 쿠폰 써지는지만 보려고 숙소에서 결제 클릭하고 최종 결제 창 뜨면 취소하려고 했는데 최종 결제 찬 뜨지도 않고 그냥 바로 예약되버리네요 예약된 숙소에 전화해서 취소되냐 물어보니깐 안 된다 하네요 예약이라 방문 안 해도 자동 결제된다고 한 흔히들 아는 예약이라는 단어 뜻이 아닌 예약 결제 줄임말인 듯 이런 사기성 같은 어플 처음 보네 지인들한테도 이 어플 쓰지 말라고 해야겠네요
219,절대 여기 어플로 하지 마세요 환불을 요청 시 왜 해야 되는지 작성해야 되고 전화도 안 받습니다 환불을 안 해주려고 해요 호텔들은 바로 해준다고 하는데 고생했습니다 개 노 답 어플
220,결제 튕겨서 다시 들어가니까 가격 올라 있네요
221,저렴하게 잘 이용하고 있어요
222,간단히 예약할 수 있어서 너무 좋아요 아고 다포 에버
223,reallygood
224,여행할 때 숙소 예약하기 편리해요
225,늘 아이들과 여행 때 아고다를 자주 사용합니다
226,최악의 앱 글로벌 본사와 한국지사 또 한국지사 간의 직원들도 소통이 안 돼서 매번 CS 직원에게 새로 설명해야 하나 못 알아듣고 같은 질문 번 본 고객 전송용 이메일을 복사해서 친절한 문구지만 이상한 정보와 오류투성이 내용이고 예약한 호텔과도 소통 부재로 해결이 불가
227,매력적인 안내 고 맙습니다
228,합리적인 가격에 좋은 숙소 정보를 제공합니다
229,항공편 절대로 사용하지 마세요 검색하는 공항 외에 주변 공항까지 한꺼번에 검색 보여줘서 거의 잘못 예약하게 합니다 A 공항에서 B 공항으로 가는 항공권 검색하면 주변에 있는 C 공항에서 D 공항으로 가는 티켓까지 다 보여줍니다 공항끼리 서로 주변에 있어 봐야 얼마나 가깝게 있겠어요 결국 잘못 예약하면 일정 망치는데 검색하는 공항과 다른 공항 표는 따로 표시도 안 해주고 모두 섞어놔서 더 잘못 예약하기 쉽게 만들어버립니다 여기서 예약하면 환불도 거의 못 받아서 불편한 일정 감수하거나 비행기 푯값 손해 봐야 해요 정확하게 검색된 티켓만 보여주는 게 어려운 일이 아닐 텐데 이 정도면 사용자한테 돈 뜯으려고 일부러 헷갈리게 만들어 놓은 겁니다
230,저렴하게 좋았어요
231,어디 부족한 친구들이 ㅁ 든 게 분명함
